Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5349397590361445,0.4715909090909091,1.0126690706926071,0.4715909090909091,0.0,0.5349397590361445,0,0.4673684210526316,0.0,0.48333333333333334,0.6818181818181818,-0.03308423930570599,0.6818181818181818,0.0,0.48333333333333334,0,0.6590909090909091,0.0,0.5357142857142857,0.6363636363636364,-0.31063940445386107,0.6363636363636364,0.0,0.5357142857142857,0,0.6521739130434783,0.0
1,0.5779092702169625,0.5761363636363637,3.279542103437335,0.5761363636363637,0.0,0.5779092702169625,0,0.6168421052631579,0.0,0.5,0.5454545454545454,0.010542933616887035,0.5454545454545454,0.0,0.5,0,0.5454545454545454,0.0,0.5238095238095238,0.4772727272727273,-0.1484076256606287,0.4772727272727273,0.0,0.5238095238095238,0,0.4782608695652174,0.0
2,0.6782608695652174,0.5227272727272727,6.160260384724727,0.5227272727272727,0.0,0.6782608695652174,0,0.6568421052631579,0.0,0.5405405405405406,0.42045454545454547,-0.04327925913133029,0.42045454545454547,0.0,0.5405405405405406,0,0.45454545454545453,0.0,0.5588235294117647,0.38636363636363635,-0.029353438869268708,0.38636363636363635,0.0,0.5588235294117647,0,0.41304347826086957,0.0
3,0.7672811059907834,0.49318181818181817,8.142359476095491,0.49318181818181817,0.0,0.7672811059907834,0,0.7010526315789474,0.0,0.5757575757575758,0.375,0.014953736728570496,0.375,0.0,0.5757575757575758,0,0.4318181818181818,0.0,0.5641025641025641,0.4431818181818182,0.0038559887650513568,0.4431818181818182,0.0,0.5641025641025641,0,0.4782608695652174,0.0
4,0.8014354066985646,0.475,8.059596030272923,0.475,0.0,0.8014354066985646,0,0.7052631578947368,0.0,0.5714285714285714,0.3977272727272727,0.033658104840760636,0.3977272727272727,0.0,0.5714285714285714,0,0.45454545454545453,0.0,0.5365853658536586,0.4659090909090909,-0.06479488531175605,0.4659090909090909,0.0,0.5365853658536586,0,0.4782608695652174,0.0
5,0.8096330275229358,0.4954545454545455,8.572194016965842,0.4954545454545455,0.0,0.8096330275229358,0,0.7431578947368421,0.0,0.55,0.45454545454545453,0.027016865887598253,0.45454545454545453,0.0,0.55,0,0.5,0.0,0.5116279069767442,0.48863636363636365,-0.0775789734851018,0.48863636363636365,0.0,0.5116279069767442,0,0.4782608695652174,0.0
6,0.8242009132420092,0.49772727272727274,9.085299068857143,0.49772727272727274,0.0,0.8242009132420092,0,0.76,0.0,0.6,0.45454545454545453,0.1040326235508548,0.45454545454545453,0.0,0.6,0,0.5454545454545454,0.0,0.5,0.5454545454545454,-0.06835323133931832,0.5454545454545454,0.0,0.5,0,0.5217391304347826,0.0
7,0.8192219679633868,0.4965909090909091,8.769999270744341,0.4965909090909091,0.0,0.8192219679633868,0,0.7536842105263157,0.0,0.5625,0.36363636363636365,0.06767880174768658,0.36363636363636365,0.0,0.5625,0,0.4090909090909091,0.0,0.5111111111111111,0.5113636363636364,-0.03310911639928318,0.5113636363636364,0.0,0.5111111111111111,0,0.5,0.0
8,0.8222748815165877,0.47954545454545455,9.03521155246402,0.47954545454545455,0.0,0.8222748815165877,0,0.7305263157894737,0.0,0.5952380952380952,0.4772727272727273,0.1925991225561595,0.4772727272727273,0.0,0.5952380952380952,0,0.5681818181818182,0.0,0.5217391304347826,0.5227272727272727,-0.02255810274306117,0.5227272727272727,0.0,0.5217391304347826,0,0.5217391304347826,0.0
9,0.8237986270022883,0.4965909090909091,8.904448267221584,0.4965909090909091,0.0,0.8237986270022883,0,0.7578947368421053,0.0,0.6153846153846154,0.4431818181818182,0.25840829502784074,0.4431818181818182,0.0,0.6153846153846154,0,0.5454545454545454,0.0,0.5416666666666666,0.5454545454545454,0.02854407071640398,0.5454545454545454,0.0,0.5416666666666666,0,0.5652173913043478,0.0
10,0.8400900900900901,0.5045454545454545,9.532616950003908,0.5045454545454545,0.0,0.8400900900900901,0,0.7852631578947369,0.0,0.5454545454545454,0.5,0.11522879591894478,0.5,0.0,0.5454545454545454,0,0.5454545454545454,0.0,0.52,0.5681818181818182,-0.1030156490516164,0.5681818181818182,0.0,0.52,0,0.5652173913043478,0.0
