Date,Time,Open,High,Low,Close
14/08/2017,00:00,4261.48000000,4485.39000000,3850.00000000,4086.29000000
21/08/2017,00:00,4069.13000000,4453.91000000,3400.00000000,4310.01000000
28/08/2017,00:00,4310.01000000,4939.19000000,4124.54000000,4509.08000000
04/09/2017,00:00,4505.00000000,4788.59000000,3603.00000000,4130.37000000
11/09/2017,00:00,4153.62000000,4394.59000000,2817.00000000,3699.99000000
18/09/2017,00:00,3690.00000000,4123.20000000,3505.55000000,3660.02000000
25/09/2017,00:00,3660.02000000,4406.52000000,3653.69000000,4378.48000000
02/10/2017,00:00,4400.00000000,4658.00000000,4110.00000000,4640.00000000
09/10/2017,00:00,4640.00000000,5922.30000000,4550.00000000,5709.99000000
16/10/2017,00:00,5710.00000000,6171.00000000,5037.95000000,5950.02000000
23/10/2017,00:00,5975.00000000,6189.88000000,5286.98000000,6169.98000000
30/10/2017,00:00,6133.01000000,7590.25000000,6030.00000000,7345.01000000
06/11/2017,00:00,7345.10000000,7770.02000000,5325.01000000,5811.03000000
13/11/2017,00:00,5839.94000000,8123.15000000,5699.99000000,8038.00000000
20/11/2017,00:00,8057.11000000,9350.00000000,7801.00000000,9128.02000000
27/11/2017,00:00,9128.00000000,11825.00000000,8520.00000000,11165.41000000
04/12/2017,00:00,11165.41000000,17204.99000000,10802.00000000,14899.98000000
11/12/2017,00:00,14946.26000000,19798.68000000,14666.56000000,18860.02000000
18/12/2017,00:00,18860.04000000,19300.00000000,10961.00000000,13500.00000000
25/12/2017,00:00,13500.00000000,16498.05000000,11750.00000000,13716.36000000
01/01/2018,00:00,13715.65000000,17176.24000000,12750.00000000,16150.03000000
08/01/2018,00:00,16218.85000000,16322.30000000,11400.00000000,13474.99000000
15/01/2018,00:00,13477.98000000,14249.99000000,9035.00000000,11530.00000000
22/01/2018,00:00,11530.00000000,12244.00000000,9900.24000000,11879.95000000
29/01/2018,00:00,11879.95000000,11975.02000000,7930.00000000,8184.81000000
05/02/2018,00:00,8179.99000000,9065.78000000,6000.01000000,8063.88000000
12/02/2018,00:00,8063.82000000,11274.00000000,8053.00000000,10383.43000000
19/02/2018,00:00,10375.01000000,11786.01000000,9274.80000000,9590.00000000
26/02/2018,00:00,9590.00000000,11565.00000000,9350.00000000,11515.00000000
05/03/2018,00:00,11515.00000000,11710.00000000,8329.00000000,9533.57000000
12/03/2018,00:00,9533.57000000,9888.88000000,7322.00000000,8189.99000000
19/03/2018,00:00,8189.00000000,9177.01000000,8088.40000000,8470.15000000
26/03/2018,00:00,8470.14000000,8514.89000000,6430.00000000,6813.01000000
02/04/2018,00:00,6813.01000000,7520.00000000,6500.00000000,7018.00000000
09/04/2018,00:00,7011.04000000,8429.54000000,6611.00000000,8355.00000000
16/04/2018,00:00,8355.07000000,9035.00000000,7825.40000000,8787.02000000
23/04/2018,00:00,8785.70000000,9759.82000000,8651.62000000,9419.00000000
30/04/2018,00:00,9417.04000000,10020.00000000,8800.49000000,9659.01000000
07/05/2018,00:00,9661.02000000,9689.67000000,8153.00000000,8679.71000000
